model,method,feature_set,wasserstein,compression_ratio,spearman_rho,dose_response_slope,pairwise_accuracy,rmse
phi4-14b,aux_Ridge,A2,1.4663,1.0,0.5696,-4.1692,0.7415,2.9073
phi4-14b,aux_XGBoost,A2,1.4776,0.9899,0.5087,-3.6107,0.7138,3.0838
phi4-14b,aux_Ridge,B,1.4619,1.0,0.5714,-4.21,0.742,2.9014
phi4-14b,aux_XGBoost,B,1.4824,0.9742,0.5331,-3.802,0.7254,3.0311
phi4-14b,aux_Ridge,C,1.4089,1.0,0.5716,-4.2403,0.7423,2.8984
phi4-14b,aux_XGBoost,C,1.507,1.0,0.5225,-3.7011,0.7207,3.0559
phi4-mini,raw,-,3.738,1.0,0.2394,-0.7933,0.3707,4.7845
phi4-mini,aux_Ridge,A1,2.0857,0.781,0.373,-1.6375,0.6544,3.3121
phi4-mini,aux_XGBoost,A1,1.7667,1.0,0.3624,-2.1786,0.6511,3.3005
phi4-mini,aux_Ridge,A2,2.0779,0.7763,0.3758,-1.6535,0.6556,3.3102
phi4-mini,aux_XGBoost,A2,1.763,1.0,0.3656,-2.1871,0.6525,3.2987
phi4-mini,aux_Ridge,B,2.0935,0.681,0.3544,-1.5314,0.6474,3.3255
phi4-mini,aux_XGBoost,B,1.6949,1.0,0.3933,-2.5595,0.664,3.2579
phi4-mini,aux_Ridge,C,1.9407,1.0,0.3881,-1.8972,0.6614,3.2687
phi4-mini,aux_XGBoost,C,1.6977,1.0,0.3873,-2.5126,0.6614,3.269
qwen2.5-14b,raw,-,1.689,0.6,0.6181,-4.5708,0.6244,3.0272
qwen2.5-14b,aux_Ridge,A1,1.2743,0.9558,0.6287,-4.7875,0.769,2.7662
qwen2.5-14b,aux_XGBoost,A1,1.2353,0.992,0.6486,-5.3973,0.7786,2.6889
qwen2.5-14b,aux_Ridge,A2,1.2892,0.9959,0.6398,-4.8378,0.7739,2.7573
qwen2.5-14b,aux_XGBoost,A2,1.2167,0.9985,0.6503,-5.4551,0.7791,2.6794
qwen2.5-14b,aux_Ridge,B,1.1614,0.989,0.6664,-5.5419,0.7876,2.648
qwen2.5-14b,aux_XGBoost,B,1.1865,1.0,0.6932,-5.9385,0.8028,2.5422
qwen2.5-14b,aux_Ridge,C,1.1182,1.0,0.6662,-5.6892,0.7873,2.622
qwen2.5-14b,aux_XGBoost,C,1.1784,0.9908,0.6915,-5.9598,0.8018,2.5395
qwen2.5-7b,raw,-,4.0114,0.4,0.3237,-0.5863,0.3574,4.9673
qwen2.5-7b,aux_Ridge,A1,1.9948,0.7767,0.3715,-1.9128,0.6547,3.27
qwen2.5-7b,aux_XGBoost,A1,1.7702,1.0,0.3444,-2.0749,0.6431,3.3295
qwen2.5-7b,aux_Ridge,A2,1.9717,0.8079,0.3851,-2.0277,0.6604,3.2534
qwen2.5-7b,aux_XGBoost,A2,1.7624,1.0,0.3458,-2.0797,0.6436,3.3294
qwen2.5-7b,aux_Ridge,B,1.9962,1.0,0.3805,-1.8297,0.6575,3.2858
qwen2.5-7b,aux_XGBoost,B,1.6327,0.9878,0.3923,-2.5233,0.6636,3.2716
qwen2.5-7b,aux_Ridge,C,1.9508,1.0,0.3845,-2.049,0.6601,3.2604
qwen2.5-7b,aux_XGBoost,C,1.6449,1.0,0.3892,-2.4826,0.6622,3.2741
